ID,Parents,Name FR
620fc10ba85b54002f99f968, #FrenchCompanies #Closed,Vinci
620fc118a85b54002f99fa1a, #FrenchCompanies,Alstom
620fc124a85b54002f99facc, #FrenchCompanies,Keolis
620fc12ea85b54002f99fc1a, #FrenchCompanies,CEC
620fc13ba85b54002f99fccf, #FrenchCompanies,RATP
620fc153a85b54002f99fdac, #FrenchCompanies,Total S. A.
620fc157a85b54002f99fe5a, #FrenchCompanies,SNCF
620fc170a85b54002f9a004c, #FrenchCompanies,LaPoste
620fc178a85b54002f9a00fb, #FrenchCompanies,Michelin
620fc180a85b54002f9a01aa, #FrenchCompanies,Carrefour
620fc199a85b54002f9a03cd, #FrenchCompanies,Sanofi
620fc1a4a85b54002f9a0491, #FrenchCompanies,L'Oréal
620fc1b9a85b54002f9a0576, #FrenchCompanies,Credit Agricole
620fc1c3a85b54002f9a0634, #FrenchCompanies,Air France
620fc1e2a85b54002f9a07aa, #FrenchCompanies,Saint Gobain
620fc1f7a85b54002f9a0a03, #FrenchCompanies,Bouygues
620fc21ba85b54002f9a0cd8, #FrenchCompanies,Ericsson
620fc252a85b54002f9a0f9d, #FrenchCompanies,Eiffage
620fc25da85b54002f9a104b, #FrenchCompanies,Benetton
621357cfa85b54002fac037e, #WebMarketing #Crm,Hubspot
621f459090411b002f28ad99, #Operations86854,Amélioration continue
6230ad544f19cf002e702e8e, #FrenchCompanies,I-Expo 
623ae4c081e89d002ed1ccab, #Outils,Github
623ae4d181e89d002ed1cd03, #SoftwareDevelopment,Pull Request
623ae4d581e89d002ed1cd42, #Tech,Revue de code
6244771668d5a40032a9aa81, #Fonctionnalite #Mail #Integration,Intégration mail
624c5070ed6522002ea8b4fd, #TechnologicalPlateform #Cybersecurite,Droits d'accès
624c9e7eed6522002ea8d641, #FrenchCompanies,Airbus
624c9e83ed6522002ea8d6a5, #FrenchCompanies,Thales
624c9e89ed6522002ea8d709, #FrenchCompanies,Safran
624c9e99ed6522002ea8d76d, #FrenchCompanies,Nexter
624c9eb1ed6522002ea8d834, #FrenchCompanies,Ministère des armées 
624c9ebded6522002ea8d8a9, #FrenchCompanies,Ministère de l’intérieur 
624c9ec8ed6522002ea8d914, #FrenchCompanies,Navalgroup
624c9edced6522002ea8d99f, #FrenchCompanies,Quarkslab
624c9ef4ed6522002ea8da41, #FrenchCompanies #Airbus61693,Airbus helicopters
624c9efeed6522002ea8dacb, #FrenchCompanies #Airbus61693,Airbus Defence
624c9f19ed6522002ea8db40, #FrenchCompanies #Thales,Thales Avionics 
624c9f3ded6522002ea8dbfc, #FrenchCompanies,LIEBHERR 
624c9f78ed6522002ea8dce0, #FrenchCompanies #Renault,Renaud trucks defense
624c9f9fed6522002ea8dd5b, #FrenchCompanies,LVMH
624c9fdeed6522002ea8de36, #FrenchCompanies,Accenture
624c9ff2ed6522002ea8deb0, #FrenchCompanies,Cap gemini
624c9ffeed6522002ea8df16, #FrenchCompanies,Dassault
624ca021ed6522002ea8e06e, #FrenchCompanies,Essilor
624ca071ed6522002ea8e16c, #FrenchCompanies,STmicroelectronics
624d3c1fba6056002e0f9ae8, #FrenchCompanies,SOGECLAIR 
624d3c25ba6056002e0f9b66, #FrenchCompanies,Ariane Group
624d3c32ba6056002e0f9bea, #FrenchCompanies,PROMETHEE
624d3c3fba6056002e0f9c9b, #FrenchCompanies #Thales,Thales Alenia Space 
624d3c66ba6056002e0f9d8c, #FrenchCompanies,MBDA
624d3c78ba6056002e0f9e55, #FrenchCompanies,TARMAC AEROSAVE 
624d3c7cba6056002e0f9ed4, #FrenchCompanies,Ouvry
624d3c9cba6056002e0f9fdf, #FrenchCompanies,AEROSPACE VALLEY
624d3cabba6056002e0fa067, #FrenchCompanies,OUVRY
624d3cb9ba6056002e0fa116, #FrenchCompanies,VERNEY CARON
624d3ccdba6056002e0fa19f, #FrenchCompanies,AIRSEAS
624d3cd6ba6056002e0fa22c, #FrenchCompanies,APSYS
624d3cdeba6056002e0fa2c1, #FrenchCompanies,ARQUUS
624d3cebba6056002e0fa33e, #FrenchCompanies,CEA
624d3cf9ba6056002e0fa3c7, #FrenchCompanies,Cluster E CLIDE
624d3d00ba6056002e0fa440, #FrenchCompanies,DAHER
624d3d18ba6056002e0fa4dc, #FrenchCompanies,GICAT
624d3d26ba6056002e0fa581, #FrenchCompanies,HELISIM
624d3d4eba6056002e0fa6fc, #Vinci,CEGELEC DEFENSE
624d3db4ba6056002e0fa7d9, #FrenchCompanies,PIERRE FABRE
624d3dc1ba6056002e0fa84f, #FrenchCompanies,BOEING
624d3dcbba6056002e0fa8e2, #FrenchCompanies,ROLLS ROYCE
624d3ddaba6056002e0fa94f, #FrenchCompanies,SPHEREA
624d3df7ba6056002e0faa39, #FrenchCompanies,COLLINS AEROSPACE
624d3e03ba6056002e0faab8, #FrenchCompanies,AKKA
624d3e0bba6056002e0fab48, #FrenchCompanies,Rotcshild 
624d3e1fba6056002e0fac0d, #BouyguesByTech #FrenchCompanies,Bouygues Construction
624d3e2cba6056002e0fac8a, #FrenchCompanies,CNES
624dbb80ba6056002e10b18d, #Ia,NLP
624dc7e9ba6056002e10bf6d, #Sales26688 #SalesProspecting #Communication #Brand-andMarketing,Pitch Commercial
6250042c9ed52f002eb515c7, #Outils,Dovetail
62557831dc3179002e56e7b8, #Skills,Sûreté nucléaire
6255783cdc3179002e56e7eb, #Securite #Cybersecurite,Confidentialité
62557c1adc3179002e56ee5c, #Integration,Active directory
62557c1fdc3179002e56ee99, #Outils,SIRH
62557c26dc3179002e56eecf, #WingzyRole,DSI
6255cac6dc3179002e575157, #Sales26688,Répondre aux objections
6257ea94dc3179002e5896e5, #Communication #Design #WebDesign #ProductDesign #Brand-andMarketing,Charte graphique
62592902dc3179002e59640c, #Brand #Communication #Writing #Charte-editoriale,SMR
625e7b2fadb857002e818193, #TechnologicalPlateform,Sécurité
625e8c7fadb857002e8196f0, #Securite,Cybersécurité
625ed97cadb857002e81fc84, #KnowledgeManagement37459,Knowledge Lifecycle
62611a6d9ec2d6002e077c8f, #Outils,LogRocket
626120e19ec2d6002e078e7b, #Ia,Model
6261aeef9ec2d6002e09b365, #Sales26688,Upsell
6261b0d59ec2d6002e09bca8, #Operations86854,Customer success
62624b7e9ec2d6002e0c17e6, #Brand,Site vitrine
626ff7c1a9d87c002e604379, #Fonctionnalite,Filtre
626ff804a9d87c002e60476c, #WingzyRole,Superadmin
627137f0a9d87c002e654f25, #Outils,Navigateur
62713808a9d87c002e65508b, #Navigateur,Chrome
6271380ca9d87c002e6550ce, #Navigateur,Firefox
62713918a9d87c002e655cd9, #Navigateur,Safari
62714b9ba9d87c002e6ab995, #Platform,Fonctionnalité
627248f3a9d87c002ebb87da, #Fonctionnalite #ProgressiveWebApp,Question vidéo
62729ccc61dc4e002fdaaaf8, #Langues,Zoulou
62729cde61dc4e002fdaab64, #Skills,Langues
6278ea12eb2287002f0a0e01, #Tech #Platform,Roadmap
6278ebaeeb2287002f0a1808, #WingzyRole,Experts
6278ed48eb2287002f0a2003, #Management51831 #Skills,Formation
62790f49eb2287002f0ad44c, #AccountMapping #CommunityPlatform #Utilisateurs,Catalyseurs
627bcd08eb2287002f141ed8, #Hidden,Extra
627bd0a5eb2287002f142cb4, #Hidden,Entreprises
627cfefb73dfbc0033feeff3, #Tradeshow,Global Industrie
627d1dcd73dfbc00330037b9, #WingzyRole #PersonaVente #PersonaMarketing #PersonaUtilisateur,Knowledge Management
627d1de573dfbc0033003874, #FrenchCompanies,Secteur de l'Energie
627d1ded73dfbc00330038fc, #Skills,Geosciences
627d1dfc73dfbc00330039bc, #ContentMarketing,Content Management
627d1e6673dfbc0033003dc4, #TotalSa #FrenchCompanies,TotalEnergies
627d1e9f73dfbc0033004417, #FrenchCompanies,Societe du grand paris
627d1eab73dfbc00330044b9, #FrenchCompanies,Storengy
627d1ec173dfbc0033004559, #FrenchCompanies,Terega
627d1ede73dfbc0033004712, #FrenchCompanies,SLN Eramet
627d1ef473dfbc00330047ac, #FrenchCompanies,Imerys
627d1f0c73dfbc0033004861, #FrenchCompanies,Orano
627d1f1773dfbc003300492d, #FrenchCompanies,Vermilion
627d1f4d73dfbc0033004c19, #Sport #Hobbies,Surf
627d1fe473dfbc0033004feb, #Skills,Géologie
6282b0cc73dfbc0033134487, #Sales26688,CRM
628ba40d73dfbc00332fd47a, #FrenchCompanies,EDF
628ce86973dfbc0033336d3d, #Teams #Integration #Platform,Intégration Teams
628ce86e73dfbc0033336d85, #Outils #FrenchCompanies,Teams
628e27ae73dfbc0033380bde, #Fonctionnalite #Platform,Validation
628e2cfa73dfbc0033383560, #Outils #FrenchCompanies,Slack
628e2d0873dfbc0033383624, #Slack #Integration #Platform,Intégration Slack
629dd56790856c00370c693b, #Langues,Russe
629f465290856c003712651e, #Platform #ProgressiveWebApp,UX design
629f46c490856c00371267f8, #FrenchCompanies,ACOVA
62a0bed390856c003718aada, #Communication,Communication interne
62a7065ba10f7b003761c495, #Fonctionnalite #ProgressiveWebApp,Jauge de pertinence
62a743efa10f7b003762ab10, #Hidden,Question posée par mail
62a76626a10f7b0037639ba9, #UxDesign #TechnologicalPlateform #Communication,Image
62a8b37edc411100379f0e01, #FrenchCompanies,Microsoft Store
62a8b39fdc411100379f0fac, #MicrosoftStore #FrenchCompanies,Microsoft Partner Center
62aae9dbc02c8f0037aafadf, #Hobbies,Jeux de role
62b1c8cba75b3d0037a9015f, #Outils,Zapier
62b2d86ca75b3d0037ac5284, #EmployerBrand,Welcome to the Jungle
62b9c961ad511d0037ad6598, #Hobbies,Golf
62bc4797ab0ea800374f7ed0, #Skills,Conception Pédagogique
62bc47b7ab0ea800374f8027, #FrenchCompanies,TikTok
62bc4842ab0ea800374f9318, #Skills,Théorie des organisations
62c2d48dab0ea8003755cd73, #WingzyRole,Ingénieur projet
62c2d563ab0ea8003755d6a2, #Hobbies,Planche à voile
62c2d566ab0ea8003755d71a,,Santé
62c2d577ab0ea8003755d75c, #Hobbies,Guitare
62c2d5efab0ea8003755db48, #Sport,Ski
62c2d7b2ab0ea8003755ea81, #Organization,Horaires
62c2d7c7ab0ea8003755eb1c, #Sales26688 #PreSales,Relation client
62c46ba0ab0ea80037577a83, #TunnelDeVente,MQL
62cfc17f669fad003714b449, #Figma #UxDesign #ProductDesign #ResponsiveDesign,Prototypes Figma
62cfc1e0669fad003714b5a2, #UxDesign #WebDesign,Interfaces
62cfc20b669fad003714b6cb, #UxDesign #ProductDesign,Évolutions UX Design
62d6dd52669fad003735228f, #Outils,Stonly
62d6ddf3669fad003735988f, #Outils,SendinBlue
62d7bd4f669fad0037395c0c, #Deploiement #Sales26688,POC/V
62d7cc57669fad003739f9c7, #Hobbies #ContentMarketing,Ecrire
62dabbb3d586eb00375a3788, #Cybersecurite #Securite,Compliance
62e05491d586eb003771c619, #Management51831,Entreprise apprenante
62e10385d586eb003774d09b, #WingzyRole,Qualité
62e1120cd586eb0037750f2b, #Deploiement,Lancement
62e160392b1b05003797b0f5, #Administrative #Facture #Procurement,RIB
62e79dd80182200037b6b53c, #TechnologicalPlateform,Algorithmes
62ea48470182200037c2fbf1, #Vinci,Cegelec CEM
62f113320de9ad0037534ede, #Dsi,Ordinateur
62f126060de9ad00375363ba, #Brand #Communication #Design,Charte éditoriale
62f20f170de9ad0037576b20, #Hobbies,Astrologie
62f3d3f0e04b41004a6694de, #Interfaces,Navigation
62f5f6c2366965004a1b0a68, #Outils #IT,Mail
62fd1bcfef1b24004e435c67, #Investisseur,Levée de fonds
62fd1cadef1b24004e436041, #ConcoursStartUp,Appel à manifestation d'intérêt
62fd1cb8ef1b24004e4360bc, #Brand-andMarketing,Concours Start-up
6306289c1a2b1f004ae7d52f, #CharteGraphique #ProductDesign,Couleurs
63072fbf907055004a3d3193, #Dovetail #ContentMarketing #Ontologie #Platform #UxDesign,Recherche Utilisateur
6318bc5dc48f490048271e3e, #DataAnalysis #Export #Import-Export #IT #Keen23909,CSV
631a0a715cd13b004ac4c446, #PreSales #SalesProspecting #Sales26688 #TechnicalSupport,FAQ Clients
631a16685cd13b004ac51583, #ProtectionDesDonnees #Compliance,Reversibilité
631a16775cd13b004ac5164d, #Sales26688 #Operations86854 #Import-Export,Export
631a178e5cd13b004ac52e26, #TechnologicalPlateform,Intégration
631a18ab5cd13b004ac54746, #TechnologicalPlateform #MethodologicalPlatform #Cheminengagementutilisateur,Onboarding
631ee75e4430900042cb6796, #Sales26688,Networking
631eeff54430900042cb9376, #Skills,Statistiques
6321ae570fcc98004a59ab36, #AskForTheMoon #FullStackDeveloper #English #Russe,Discours de Clément
6321ef390fcc98004a5be703, #ProductDesign #Javascript #ReactJs,MobX
632326a019b8f900482e7543, #Operations86854 #Sales26688,REX
